ref:FR:prix-carburants,brand,name,operator,branch
75013023,TotalEnergies,TotalEnergies,,
93140004,BP,,,
39130004,TotalEnergies,TotalEnergies,,
89130002,Intermarché,,Groupement des Mousquetaires,
28600003,Total,,,
60490007,TotalEnergies,Relais Ressons Est,Total,
33790001,Intermarché,Intermarché,Groupement des Mousquetaires,
74350003,Esso,,,
51200001,Carrefour,Carrefour,,
71600004,Avia,Avia,,
51200005,E.Leclerc,E. Leclerc,,
51130001,Carrefour,Carrefour Market,,
51160002,E.Leclerc,E. Leclerc,,
67170005,Super U,Super U,Super U,
67260004,E.Leclerc,Station Service E.Leclerc,E. Leclerc,
56170003,Super U,Super U,,
72310001,Super U,Super U,Super U,
56440003,Total,Total,Total,
68350001,Station U,Super U,,
51800001,Système U,Station U,,
51480001,Total,Total Contact,,
80800004,Auchan,Auchan,,
40600004,Station U,Station U,Les Magasins U,
71260006,TotalEnergies,TotalEnergies,,
82120001,Aire C,Aire C,Sarl Val Fleuri Lavit,
80250001,Intermarché,Intermarché,,
81290001,Dyneff,Dyneff,,
3400003,Avia,Avia,,
14700001,Carrefour Market,Carrefour Market,Carrefour,
14450001,Carrefour,Carrefour,,
31200022,Total Access,Total Access,Total,
28480001,Total,,,
76150002,Esso,Esso,,
10120001,Total,TotalEnergies,TotalEnergies,
93230005,Total,Relais des Fontaines,Total,
36100001,Carrefour Market,Carrefour Market,Carrefour,
38250003,Avia,Avia,Avia,
24310002,Carrefour,Carrefour,Carrefour,
62100028,Esso,Esso,BP,
14540001,Carrefour,,,
68130002,Système U,Station U,,
81200001,TotalEnergies,TotalEnergies,,
67202003,Total Access,Total,Total,
78800001,Auchan,Auchan,Auchan,
72400017,Eni,Eni,Eni,
22200007,Garage Bahezre,,Bahezre,
49480005,Esso,Esso,BP,
38340018,Eni,Eni,,
59270002,E.Leclerc,,,
35370004,Intermarché,Intermarché,,
76190003,Intermarché,Intermarché,,
19250001,Elan,Elan,,
78190011,Auchan,Auchan,,
29760004,Carrefour,Carrefour,Carrefour,
64480001,Super U,Super U,,
13400001,Auchan,C. C. Auchan,,
47310004,Intermarché,Intermarché,,
47330001,Intermarché,Intermarché,,
32140001,Super U,Super U,,
47200012,Intermarché,Intermarché,,
83140006,Intermarché,,Groupement des Mousquetaires,
92140014,Total,Total,Total,
27310010,E.Leclerc,Station Service E.Leclerc,Total,
69400015,Intermarché,Intermarché,,
45110001,Super U,Super U,Super U,
91400005,E.Leclerc,Station Service E. Leclerc,,
12220001,Système U,U Express,,
57260001,Independent,Match,,
22400010,Carrefour,Carrefour Express,Carrefour Express,
24110002,E.Leclerc,E. Leclerc,,
48000006,,Boissonnade Combustibles,,
47200002,Total,Total,,
93270006,BP,BP,,
39570004,Super U,Station U,Super U,
49070005,Système U,Station U,,
43170002,Independent,Lonjon,Lonjon,
29390002,E.Leclerc,E. Leclerc,,
56100009,Intermarché,Intermarché,,
42152003,Intermarché,Intermarché,,
42230002,DL LUB S.A.S,DL Lub,DL LUB S.A.S,
42120005,Intermarché,Intermarché,,
21000013,,Sa Piretti,,
56160001,Intermarché,,,
66700001,Intermarché,Intermarché,Groupement des Mousquetaires,
38080007,Avia,Avia - Aire de l’Isle d’Abeau,SARL Karedemir,
31620014,E.Leclerc,Station Service E.Leclerc,BP,
69400005,Esso Express,Esso Express,Esso,
42380005,,Michalon,,
42720001,Esso,Esso,,
55300003,Intermarché,Intermarché Super,,
42800005,,Netto,,
17100001,TotalEnergies,Total,,
93470002,Intermarché,Intermarché,,
69230001,Auchan,Auchan Saint-Genis-Laval,Auchan Saint-Genis-Laval,
8110005,Carrefour,Carrefour,,
79320001,Système U,Station U,,
79300001,Carrefour,Station Carrefour,,
17600004,E.Leclerc,,,
